,Femenino,Masculino,Prefiero no decir,Dif M-F
"Me veo estudiando una carrera relacionada con STEM(Ciencia, Tecnología, Ingeniería o Matemáticas)",2.49,3.25,4.0,0.76
"Siento curiosidad por cómo funcionan las cosas (apps, videojuegos, internet, robots, etc.)",3.05,3.78,5.0,0.73
Diseño de apps/web,0.7,1.39,0.0,0.69
"Si algo no me sale en tecnología, lo intento de nuevo hasta entenderlo",3.0,3.63,5.0,0.63
Puedo trabajar en equipo para desarrollar un proyecto,3.39,3.94,4.0,0.55
Me siento cómodo/a haciendo preguntas cuando no entiendo,2.89,3.43,3.0,0.54
Me interesa aprender sobre tecnología,3.11,3.6,5.0,0.49
Me siento capaz de aprender programación o herramientas tecnológicas si tengo buena guía,3.3,3.78,5.0,0.48
"IoT(sensores, Arduino)",0.46,0.76,1.0,0.3
Me gustaría participar en proyectos donde use tecnología para resolver problemas reales,3.3,3.59,4.0,0.29
"IA(ChatGPT, reconocimiento de imágenes, etc.)",2.06,2.2,1.0,0.14
Programación (Scratch/Python/u otro),1.54,1.65,2.0,0.11
Creo que la tecnología puede ayudar a mi comunidad(Loja/Ecuador),4.0,4.0,5.0,0.0
