,No,Si,Dif Si-No
Diseño de apps/web,0.96,1.56,0.6
Me gustaría participar en proyectos donde use tecnología para resolver problemas reales,3.39,3.88,0.49
Me siento capaz de aprender programación o herramientas tecnológicas si tengo buena guía,3.53,4.0,0.47
"IoT(sensores, Arduino)",0.56,1.0,0.44
Puedo trabajar en equipo para desarrollar un proyecto,3.7,3.94,0.24
"Me veo estudiando una carrera relacionada con STEM(Ciencia, Tecnología, Ingeniería o Matemáticas)",2.89,3.12,0.23
"Siento curiosidad por cómo funcionan las cosas (apps, videojuegos, internet, robots, etc.)",3.49,3.69,0.2
Me interesa aprender sobre tecnología,3.4,3.53,0.13
Creo que la tecnología puede ayudar a mi comunidad(Loja/Ecuador),4.01,4.12,0.11
"IA(ChatGPT, reconocimiento de imágenes, etc.)",2.11,2.21,0.1
Programación (Scratch/Python/u otro),1.6,1.69,0.09
"Si algo no me sale en tecnología, lo intento de nuevo hasta entenderlo",3.39,3.44,0.05
Me siento cómodo/a haciendo preguntas cuando no entiendo,3.2,3.12,-0.08
