,Moda,Frecuencia
Curso,3ro,91
EDAD,17.0,73
GÉNERO,Masculino,51
¿HAS PARTICIPADO EN TALLERES DE TECNOLOGÍA?,No,75
¿TIENES ACCESO A INTERNET EN CASA?,Si,89
DISPOSITIVO QUE USAS MÁS,Celular,83
Me interesa aprender sobre tecnología,3.0,43
Me gustaría participar en proyectos donde use tecnología para resolver problemas reales,4,36
Creo que la tecnología puede ayudar a mi comunidad(Loja/Ecuador),4.0,36
"Me veo estudiando una carrera relacionada con STEM(Ciencia, Tecnología, Ingeniería o Matemáticas)",2,21
"Siento curiosidad por cómo funcionan las cosas (apps, videojuegos, internet, robots, etc.)",4,25
Me siento capaz de aprender programación o herramientas tecnológicas si tengo buena guía,4,33
"Si algo no me sale en tecnología, lo intento de nuevo hasta entenderlo",4,28
Me siento cómodo/a haciendo preguntas cuando no entiendo,3,35
Puedo trabajar en equipo para desarrollar un proyecto,4.0,36
Programación (Scratch/Python/u otro),2.0,47
"IoT(sensores, Arduino)",0.0,50
"IA(ChatGPT, reconocimiento de imágenes, etc.)",2.0,46
Diseño de apps/web,1,33
He usado alguna vez,"Scratch, Excel/Sheets, Canva, IA(ChatGPT u otra), Herramientas de edición de video",37
"¿Tu colegio realiza ""proyecto de año"" u otro proyecto integrador?",Si,73
¿En qué etapa del proyecto escolar de este año estás?,En desarrollo,34
¿Qué te gustaría que estos talleres aporten a tu proyecto escolar? (elige hasta 2),Cómo plantear el problema,9
¿Qué te podría dificultar participar/aprender? (elige hasta 2),Falta de tiempo,21
¿Quién te apoya más para pensar en tu futuro?,Familia,80
